"age","gender","country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","info_date","info_time"
44,"male","united states","oh","no","yes","yes","sometimes","100-500","no","yes","yes","yes","no","yes","yes","don't know","maybe","no","some of them","some of them","no","no","don't know","no",2015-01-03,"03:38:30"
34,"male","canada","na","no","yes","no","sometimes","more than 1000","no","yes","yes","not sure","yes","yes","yes","don't know","maybe","no","2","no","no","maybe","don't know","no",2015-02-21,"04:16:05"
38,"male","italy","na","no","no","no","never","26-100","no","yes","don't know","not sure","don't know","don't know","yes","don't know","no","no","some of them","yes","yes","maybe","no","no",2015-02-21,"04:18:48"
27,"male","germany","na","no","no","no","na","26-100","no","yes","don't know","not sure","no","no","don't know","don't know","no","no","some of them","yes","yes","yes","don't know","no",2015-02-21,"04:19:28"
34,"female","ireland","na","no","no","yes","sometimes","500-1000","no","no","yes","yes","yes","no","yes","don't know","yes","yes","some of them","some of them","no","no","yes","no",2015-02-21,"04:23:05"
35,"female","ireland","na","no","na","no","rarely","44201","no","yes","don't know","no","no","no","no","don't know","maybe","no","some of them","no","no","maybe","no","no",2015-02-21,"04:32:45"
34,"male","ireland","na","no","no","yes","often","44372","no","yes","no","no","no","no","don't know","somewhat difficult","yes","maybe","some of them","yes","no","maybe","no","no",2015-02-21,"04:34:56"
32,"male","united states","tx","no","no","yes","often","26-100","yes","yes","yes","not sure","no","don't know","don't know","very difficult","yes","maybe","some of them","no","no","no","don't know","no",2015-02-21,"04:41:28"
25,"male","ireland","na","no","no","no","na","100-500","no","yes","don't know","not sure","no","not sure","don't know","don't know","maybe","no","some of them","yes","no","no","don't know","no",2015-02-21,"04:51:53"
28,"male","australia","na","no","no","-","often","100-500","yes","yes","no","yes","no","no","not sure","don't know","yes","no","no","no","no","maybe","no","no",2015-02-21,"04:55:11"
24,"male","united kingdom","na","no","no","no","na","100-500","-","yes","don't know","not sure","no","no","don't know","somewhat easy","maybe","maybe","some of them","yes","no","maybe","don't know","no",2015-02-21,"05:55:13"
32,"male","ireland","na","no","no","yes","sometimes","44372","no","-","no","no","no","no","don't know","somewhat easy","no","no","some of them","yes","no","maybe","don't know","no",2015-02-21,"06:06:09"
34,"male","united kingdom","na","no","yes","no","often","26-100","yes","no","don't know","not sure","no","no","don't know","somewhat easy","maybe","no","some of them","yes","maybe","yes","yes","no",2015-02-21,"06:19:41"
23,"male","united states","tx","no","no","yes","sometimes","44201","no","yes","no","yes","no","no","no","very easy","maybe","maybe","some of them","yes","no","no","no","no",2015-02-21,"08:21:36"
33,"male","czech republic","na","no","yes","no","often","100-500","no","yes","no","yes","no","no","don't know","somewhat easy","no","no","some of them","yes","maybe","maybe","don't know","yes",2015-02-21,"08:54:40"
29,"male","singapore","na","no","yes","yes","sometimes","26-100","no","yes","not sure","not sure","no","no","don't know","somewhat difficult","maybe","no","no","no","no","maybe","no","no",2015-02-21,"08:56:27"
24,"male","ireland","na","no","yes","no","na","44201","no","yes","no","no","no","no","don't know","don't know","maybe","maybe","no","no","no","no","don't know","no",2015-02-21,"09:10:26"
45,"male","ireland","na","na","no","no","never","more than 1000","yes","na","don't know","not sure","no","no","don't know","don't know","yes","no","yes","some of them","no","no","no","yes",2015-02-21,"09:16:45"
34,"female","united kingdom","na","no","no","yes","sometimes","more than 1000","no","no","no","yes","no","yes","yes","somewhat difficult","maybe","maybe","some of them","yes","no","maybe","no","yes",2015-02-21,"09:18:20"
